"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"python-wheel","0.40.0","MIT","LICENSE.txt","wheel-0.40.0.tar.gz","https://files.pythonhosted.org/packages/fc/ef/0335f7217dd1e8096a9e8383e1d472aa14717878ffe07c4772e68b6e8735","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"pcre2","10.42","BSD-3-Clause","LICENCE","pcre2-10.42.tar.bz2","https://github.com/PCRE2Project/pcre2/releases/download/pcre2-10.42","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"util-linux","2.39.3","GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)","README.licensing Documentation/licenses/COPYING.BSD-3-Clause Documentation/licenses/COPYING.BSD-4-Clause-UC Documentation/licenses/COPYING.GPL-2.0-or-later Documentation/licenses/COPYING.ISC Documentation/licenses/COPYING.LGPL-2.1-or-later","util-linux-2.39.3.tar.xz","https://cdn.kernel.org/pub/linux/utils/util-linux/v2.39","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"gperf","3.1","GPL-3.0+","COPYING","gperf-3.1.tar.gz","http://mirrors.kernel.org/gnu/gperf","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"flex","2.6.4","FLEX","COPYING","flex-2.6.4.tar.gz","https://github.com/westes/flex/files/981163","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-gettext-tiny [MIT, GPL-3.0+ (extra gettext)] host-hiredis [BSD-3-Clause] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"wayland","1.22.0","MIT","COPYING","wayland-1.22.0.tar.xz","https://gitlab.freedesktop.org/wayland/wayland/-/releases/1.22.0/downloads","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libxml2 [MIT] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-meson [Apache-2.0] host-ninja [Apache-2.0] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python-setuptools [MIT] host-python-wheel [MIT] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"libxml2","2.12.5","MIT","Copyright","libxml2-2.12.5.tar.xz","https://download.gnome.org/sources/libxml2/2.12","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"e2fsprogs","1.47.0","GPL-2.0, MIT-like with advertising clause (libss and libet)","NOTICE lib/ss/mit-sipb-copyright.h lib/et/internal.h","e2fsprogs-1.47.0.tar.xz","https://cdn.kernel.org/pub/linux/kernel/people/tytso/e2fsprogs/v1.47.0","host-autoconf [GPL-3.0+ with exceptions] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"eudev","3.2.14","GPL-2.0+ (programs), LGPL-2.1+ (libraries)","COPYING","eudev-3.2.14.tar.gz","https://github.com/eudev-project/eudev/releases/download/v3.2.14","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-gperf [GPL-3.0+] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"gdk-pixbuf","2.42.10","LGPL-2.1+","COPYING","gdk-pixbuf-2.42.10.tar.xz","https://download.gnome.org/sources/gdk-pixbuf/2.42","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-gettext-tiny [MIT, GPL-3.0+ (extra gettext)] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libglib2 [LGPL-2.1+] host-libjpeg [IJG] host-libopenssl [Apache-2.0] host-libpng [Libpng-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-meson [Apache-2.0] host-ninja [Apache-2.0] host-pcre2 [BSD-3-Clause] host-pkgconf [pkgconf license] host-python-flit-core [BSD-3-Clause] host-python-installer [MIT] host-python-packaging [Apache-2.0 or BSD-2-Clause] host-python-pypa-build [MIT] host-python-pyproject-hooks [MIT] host-python-setuptools [MIT] host-python-wheel [MIT] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-util-linux [GPL-2.0+, BSD-4-Clause, LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid), BSD-2-Clause (xxhash), ISC (rfkill)] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
